"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 12:53:49 EEST 2022","Thu Sep 01 12:54:25 EEST 2022","36946","","Login Functionality","","","","login with valid credentials",""
"passed","Sun Sep 04 16:21:24 EEST 2022","Sun Sep 04 16:21:45 EEST 2022","21819","","Login Functionality","","","","Should login with invalid password credentials read data from fixture",""
"passed","Sun Sep 04 16:21:15 EEST 2022","Sun Sep 04 16:21:24 EEST 2022","8063","","Login Functionality","","","","Should login with invalid email credentials read data from fixture",""
"passed","Sun Sep 04 16:21:45 EEST 2022","Sun Sep 04 16:21:55 EEST 2022","9325","","Login Functionality","","","","Should login with wrong email format credentials read data from fixture",""
"passed","Fri Sep 02 10:31:59 EEST 2022","Fri Sep 02 10:32:11 EEST 2022","11913","","Login Functionality","","","","login with invalid email credentials read data from fixture",""
"passed","Fri Sep 02 10:32:19 EEST 2022","Fri Sep 02 10:32:25 EEST 2022","6306","","Login Functionality","","","","login with wrong email format credentials read data from fixture",""
"passed","Thu Sep 01 11:15:28 EEST 2022","Thu Sep 01 11:15:29 EEST 2022","1322","","My Account Functionality","","","","Sample Test",""
"passed","Fri Sep 02 10:31:37 EEST 2022","Fri Sep 02 10:31:59 EEST 2022","22236","","Login Functionality","","","","login with valid credentials read data from fixture",""
"passed","Sun Sep 04 16:21:01 EEST 2022","Sun Sep 04 16:21:15 EEST 2022","14254","","Login Functionality","","","","Should login with valid credentials read data from fixture",""
"passed","Fri Sep 02 10:32:11 EEST 2022","Fri Sep 02 10:32:19 EEST 2022","7950","","Login Functionality","","","","login with invalid password credentials read data from fixture",""
